player_id,player_name,trips,trip_ftm,trip_fta,technical_ftm,technical_fta,n_shootingFoul2,n_shootingFoul3,n_bonus,n_andOne,n_flagrant,n_awayFromPlay,n_transitionTake,n_clearPath
203507,G. Antetokounmpo,399,436,707,0,0,260,1,41,92,5,0,0,0
1628983,S. Gilgeous-Alexander,346,568,634,33,35,209,10,56,61,1,2,6,1
201935,J. Harden,276,485,555,20,23,146,49,35,44,1,1,0,0
1629027,T. Young,282,469,539,22,22,131,19,87,37,1,2,4,1
1630162,A. Edwards,267,401,480,14,16,169,6,30,58,1,0,2,1
1626164,D. Booker,247,412,461,20,22,140,14,42,46,2,1,2,0
203999,N. Jokić,247,353,441,8,10,112,6,69,56,1,2,1,0
1628973,J. Brunson,233,351,428,17,20,122,9,53,46,1,0,2,0
1630578,A. Sengun,236,296,428,0,0,148,0,42,42,2,2,0,0
201942,D. DeRozan,234,355,418,23,23,158,7,12,56,0,0,1,0
1628369,J. Tatum,217,340,413,18,27,121,19,33,37,3,2,2,0
1628991,J. Jackson Jr.,223,311,398,0,0,139,1,32,49,1,1,0,0
1626157,K. Towns,230,330,396,9,13,154,1,10,64,0,1,0,0
1629029,L. Dončić,213,308,393,1,2,128,13,26,45,0,0,1,0
202710,J. Butler III,208,322,381,7,10,137,2,30,37,1,0,0,1
1631094,P. Banchero,212,276,380,4,5,147,3,15,47,0,0,0,0
203081,D. Lillard,187,346,377,16,16,94,31,35,26,0,1,0,0
1630166,D. Avdija,211,289,370,1,1,139,0,19,50,1,0,2,0
203076,A. Davis,205,286,366,0,3,122,1,36,42,1,2,1,0
201142,K. Durant,194,299,356,4,5,109,6,40,38,0,0,0,1
1628378,D. Mitchell,182,287,349,11,13,97,20,30,31,0,2,2,0
1630559,A. Reaves,189,304,347,17,19,101,12,33,41,0,0,2,0
1630595,C. Cunningham,192,295,346,18,24,122,4,24,39,0,0,3,0
1642264,S. Castle,192,249,344,0,0,136,0,16,40,0,0,0,0
203944,J. Randle,182,270,335,0,0,122,3,25,32,0,0,0,0
2544,L. James,178,254,326,5,5,116,3,25,33,0,0,0,1
1631097,B. Mathurin,177,270,326,6,6,128,2,16,28,1,0,2,0
1628389,B. Adebayo,179,248,325,3,3,121,0,25,31,0,1,1,0
1630224,J. Green,174,266,325,7,11,108,12,18,31,1,1,3,0
1627759,J. Brown,179,243,319,3,3,115,3,18,42,1,0,0,0
1628368,D. Fox,171,263,318,0,0,122,4,16,27,1,1,0,0
1629630,J. Morant,177,261,315,2,4,114,1,20,39,0,1,0,2
1629628,R. Barrett,172,196,310,0,1,130,0,7,34,1,0,0,0
1627783,P. Siakam,174,226,308,0,0,112,1,20,40,0,1,0,0
1630532,F. Wagner,161,266,304,5,7,117,2,20,19,2,0,1,0
1630596,E. Mobley,174,221,304,0,1,113,0,15,45,1,0,0,0
1629639,T. Herro,159,265,300,22,27,88,17,17,35,1,1,0,0
1631114,J. Williams,165,232,295,4,4,120,0,9,34,1,0,1,0
1629632,C. White,163,264,292,13,15,89,6,28,37,0,3,0,0
1630567,S. Barnes,160,220,292,8,10,111,0,19,25,2,2,1,0
1627734,D. Sabonis,162,218,289,0,0,99,0,26,34,2,1,0,0
201939,S. Curry,153,264,281,15,18,64,11,42,31,0,1,4,0
1641718,K. George,150,226,278,7,7,85,10,21,32,1,1,0,0
1628386,J. Allen,153,199,277,0,0,98,0,26,28,0,1,0,0
1630178,T. Maxey,157,241,274,13,15,83,2,30,38,0,2,2,0
203497,R. Gobert,148,183,272,0,0,105,0,19,24,0,0,0,0
203897,Z. LaVine,152,222,272,13,13,101,3,13,34,0,0,1,0
1629673,J. Poole,137,233,262,9,12,77,8,32,17,0,2,1,0
1626181,N. Powell,134,210,262,3,3,84,12,19,16,1,1,1,0
203952,A. Wiggins,138,195,255,1,2,85,9,14,28,2,0,0,0
1629631,D. Hunter,133,213,252,2,2,72,3,41,17,0,0,0,0
1641708,A. Thompson,135,169,247,0,0,102,0,10,23,0,0,0,0
1629636,D. Garland,134,216,245,8,10,77,4,23,25,2,0,3,0
1628970,M. Bridges,140,215,245,6,9,88,3,11,37,0,1,0,0
1629012,C. Sexton,138,210,244,7,7,87,0,18,31,1,0,1,0
1631105,J. Duren,135,162,242,0,0,91,0,15,28,1,0,0,0
1629627,Z. Williamson,138,158,241,0,0,98,0,5,35,0,0,0,0
1631101,S. Sharpe,136,189,239,1,3,86,1,15,32,1,1,0,0
203915,S. Dinwiddie,130,192,239,3,4,79,10,10,31,0,0,0,0
1626167,M. Turner,132,184,238,0,0,91,1,13,25,0,2,0,0
1627826,I. Zubac,136,156,236,0,0,88,0,12,36,0,0,0,0
1630228,J. Kuminga,123,157,235,0,0,102,0,10,11,0,0,0,0
201566,R. Westbrook,127,154,233,0,0,89,0,17,21,0,0,0,0
1627750,J. Murray,121,201,227,17,19,64,7,28,18,0,0,4,0
1628384,O. Anunoby,125,182,225,1,1,90,1,8,26,0,0,0,0
1630581,J. Giddey,123,175,224,0,0,86,0,15,21,0,0,1,0
1630530,T. Murphy III,126,193,219,11,11,77,1,14,26,0,3,5,0
1630163,L. Ball,118,184,216,9,13,71,4,19,20,0,2,2,0
1630168,O. Okongwu,120,164,216,0,0,79,0,17,24,0,0,0,0
1631128,C. Braun,121,177,214,0,0,85,0,8,28,0,0,0,0
1629661,C. Johnson,112,188,211,13,14,58,8,23,17,2,2,2,0
